,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,parent_edu_grouped,average_score,performance_category,prep_effectiveness
91,male,Group C,high school,free/reduced,none,27,34,36,High School or lower,32.333333333333336,Low,-32.705607476635514
92,male,Group C,high school,standard,none,71,79,71,High School or lower,73.66666666666667,Medium,8.627725856697822
93,male,Group C,associate's degree,free/reduced,completed,43,45,50,Some College / Associate,46.0,Low,-26.66945996275605
94,female,Group B,some college,standard,none,79,86,92,Some College / Associate,85.66666666666667,High,20.627725856697822
95,male,Group C,associate's degree,free/reduced,completed,78,81,82,Some College / Associate,80.33333333333333,High,7.663873370577278
96,male,Group B,some high school,standard,completed,65,66,62,High School or lower,64.33333333333333,Medium,-8.336126629422722
97,female,Group E,some college,standard,completed,63,72,70,Some College / Associate,68.33333333333333,Medium,-4.336126629422722
98,female,Group D,some college,free/reduced,none,58,67,62,Some College / Associate,62.333333333333336,Medium,-2.705607476635514
99,female,Group D,bachelor's degree,standard,none,65,67,62,Bachelor,64.66666666666667,Medium,-0.3722741433021781
100,male,Group B,some college,standard,none,79,67,67,Some College / Associate,71.0,Medium,5.9610591900311505
101,male,Group D,bachelor's degree,standard,completed,68,74,74,Bachelor,72.0,Medium,-0.6694599627560507
102,female,Group D,associate's degree,standard,none,85,91,89,Some College / Associate,88.33333333333333,High,23.29439252336448
103,male,Group B,high school,standard,completed,60,44,47,High School or lower,50.333333333333336,Low,-22.336126629422715
104,male,Group C,some college,standard,completed,98,86,90,Some College / Associate,91.33333333333333,High,18.663873370577278
105,female,Group C,some college,standard,none,58,67,72,Some College / Associate,65.66666666666667,Medium,0.6277258566978219
106,female,Group D,master's degree,standard,none,87,100,100,Master,95.66666666666667,High,30.627725856697822
107,male,Group E,associate's degree,standard,completed,66,63,64,Some College / Associate,64.33333333333333,Medium,-8.336126629422722
108,female,Group B,associate's degree,free/reduced,none,52,76,70,Some College / Associate,66.0,Medium,0.9610591900311505
109,female,Group B,some high school,standard,none,70,64,72,High School or lower,68.66666666666667,Medium,3.627725856697822
110,female,Group D,associate's degree,free/reduced,completed,77,89,98,Some College / Associate,88.0,High,15.33054003724395
111,male,Group C,high school,standard,none,62,55,49,High School or lower,55.333333333333336,Low,-9.705607476635514
112,male,Group A,associate's degree,standard,none,54,53,47,Some College / Associate,51.333333333333336,Low,-13.705607476635514
113,female,Group D,some college,standard,none,51,58,54,Some College / Associate,54.333333333333336,Low,-10.705607476635514
114,female,Group E,bachelor's degree,standard,completed,99,100,100,Bachelor,99.66666666666667,High,26.99720670391062
115,male,Group C,high school,standard,none,84,77,74,High School or lower,78.33333333333333,Medium,13.294392523364479
116,female,Group B,bachelor's degree,free/reduced,none,75,85,82,Bachelor,80.66666666666667,High,15.627725856697822
117,female,Group D,bachelor's degree,standard,none,78,82,79,Bachelor,79.66666666666667,Medium,14.627725856697822
118,female,Group D,some high school,standard,none,51,63,61,High School or lower,58.333333333333336,Low,-6.705607476635514
119,female,Group C,some college,standard,none,55,69,65,Some College / Associate,63.0,Medium,-2.0389408099688495
120,female,Group C,bachelor's degree,standard,completed,79,92,89,Bachelor,86.66666666666667,High,13.99720670391062
121,male,Group B,associate's degree,standard,completed,91,89,92,Some College / Associate,90.66666666666667,High,17.99720670391062
122,female,Group C,some college,standard,completed,88,93,93,Some College / Associate,91.33333333333333,High,18.663873370577278
123,male,Group D,high school,free/reduced,none,63,57,56,High School or lower,58.666666666666664,Low,-6.372274143302185
124,male,Group E,some college,standard,none,83,80,73,Some College / Associate,78.66666666666667,Medium,13.627725856697822
125,female,Group B,high school,standard,none,87,95,86,High School or lower,89.33333333333333,High,24.29439252336448
126,male,Group B,some high school,standard,none,72,68,67,High School or lower,69.0,Medium,3.9610591900311505
127,male,Group D,some college,standard,completed,65,77,74,Some College / Associate,72.0,Medium,-0.6694599627560507
128,male,Group D,master's degree,standard,none,82,82,74,Master,79.33333333333333,Medium,14.294392523364479
129,female,Group A,bachelor's degree,standard,none,51,49,51,Bachelor,50.333333333333336,Low,-14.705607476635514
130,male,Group D,master's degree,standard,none,89,84,82,Master,85.0,High,19.96105919003115
131,male,Group C,some high school,free/reduced,completed,53,37,40,High School or lower,43.333333333333336,Low,-29.336126629422715
132,male,Group E,some college,free/reduced,completed,87,74,70,Some College / Associate,77.0,Medium,4.330540037243949
133,female,Group C,some college,standard,completed,75,81,84,Some College / Associate,80.0,High,7.330540037243949
134,male,Group D,bachelor's degree,free/reduced,completed,74,79,75,Bachelor,76.0,Medium,3.3305400372439493
135,male,Group C,bachelor's degree,standard,none,58,55,48,Bachelor,53.666666666666664,Low,-11.372274143302185
136,male,Group B,some high school,standard,completed,51,54,41,High School or lower,48.666666666666664,Low,-24.002793296089386
137,male,Group E,high school,standard,none,70,55,56,High School or lower,60.333333333333336,Medium,-4.705607476635514
138,female,Group C,associate's degree,standard,none,59,66,67,Some College / Associate,64.0,Medium,-1.0389408099688495
139,male,Group D,some college,standard,completed,71,61,69,Some College / Associate,67.0,Medium,-5.669459962756051
140,female,Group D,some high school,standard,none,76,72,71,High School or lower,73.0,Medium,7.9610591900311505
141,female,Group C,some college,free/reduced,none,59,62,64,Some College / Associate,61.666666666666664,Medium,-3.3722741433021852
142,female,Group E,some college,free/reduced,completed,42,55,54,Some College / Associate,50.333333333333336,Low,-22.336126629422715
143,male,Group A,high school,standard,none,57,43,47,High School or lower,49.0,Low,-16.03894080996885
144,male,Group D,some college,standard,none,88,73,78,Some College / Associate,79.66666666666667,Medium,14.627725856697822
145,female,Group C,some college,free/reduced,none,22,39,33,Some College / Associate,31.333333333333332,Low,-33.70560747663552
146,male,Group B,some high school,standard,none,88,84,75,High School or lower,82.33333333333333,High,17.29439252336448
147,male,Group C,associate's degree,free/reduced,none,73,68,66,Some College / Associate,69.0,Medium,3.9610591900311505
148,female,Group D,bachelor's degree,standard,completed,68,75,81,Bachelor,74.66666666666667,Medium,1.9972067039106207
149,male,Group E,associate's degree,free/reduced,completed,100,100,93,Some College / Associate,97.66666666666667,High,24.99720670391062
150,male,Group A,some high school,standard,completed,62,67,69,High School or lower,66.0,Medium,-6.669459962756051
151,male,Group A,bachelor's degree,standard,none,77,67,68,Bachelor,70.66666666666667,Medium,5.627725856697822
152,female,Group B,associate's degree,standard,completed,59,70,66,Some College / Associate,65.0,Medium,-7.669459962756051
153,male,Group D,bachelor's degree,standard,none,54,49,47,Bachelor,50.0,Low,-15.03894080996885
154,male,Group D,some high school,standard,none,62,67,61,High School or lower,63.333333333333336,Medium,-1.7056074766355138
155,female,Group C,some college,standard,completed,70,89,88,Some College / Associate,82.33333333333333,High,9.663873370577278
156,female,Group E,high school,free/reduced,completed,66,74,78,High School or lower,72.66666666666667,Medium,-0.0027932960893792824
157,male,Group B,some college,free/reduced,none,60,60,60,Some College / Associate,60.0,Medium,-5.0389408099688495
158,female,Group B,associate's degree,standard,completed,61,86,87,Some College / Associate,78.0,Medium,5.330540037243949
159,male,Group D,associate's degree,free/reduced,none,66,62,64,Some College / Associate,64.0,Medium,-1.0389408099688495
160,male,Group B,associate's degree,free/reduced,completed,82,78,74,Some College / Associate,78.0,Medium,5.330540037243949
161,female,Group E,some college,free/reduced,completed,75,88,85,Some College / Associate,82.66666666666667,High,9.99720670391062
162,male,Group B,master's degree,free/reduced,none,49,53,52,Master,51.333333333333336,Low,-13.705607476635514
163,male,Group C,high school,standard,none,52,53,49,High School or lower,51.333333333333336,Low,-13.705607476635514
164,female,Group E,master's degree,standard,none,81,92,91,Master,88.0,High,22.96105919003115
165,female,Group C,bachelor's degree,standard,completed,96,100,100,Bachelor,98.66666666666667,High,25.99720670391062
166,male,Group C,high school,free/reduced,completed,53,51,51,High School or lower,51.666666666666664,Low,-21.002793296089386
167,female,Group B,master's degree,free/reduced,completed,58,76,78,Master,70.66666666666667,Medium,-2.0027932960893793
168,female,Group B,high school,standard,completed,68,83,78,High School or lower,76.33333333333333,Medium,3.663873370577278
169,female,Group C,some college,free/reduced,completed,67,75,70,Some College / Associate,70.66666666666667,Medium,-2.0027932960893793
170,male,Group A,high school,standard,completed,72,73,74,High School or lower,73.0,Medium,0.3305400372439493
171,male,Group E,some high school,standard,none,94,88,78,High School or lower,86.66666666666667,High,21.627725856697822
172,female,Group D,some college,standard,none,79,86,81,Some College / Associate,82.0,High,16.96105919003115
173,female,Group C,associate's degree,standard,none,63,67,70,Some College / Associate,66.66666666666667,Medium,1.6277258566978219
174,female,Group C,bachelor's degree,free/reduced,completed,43,51,54,Bachelor,49.333333333333336,Low,-23.336126629422715
175,female,Group C,master's degree,standard,completed,81,91,87,Master,86.33333333333333,High,13.663873370577278
176,female,Group B,high school,free/reduced,completed,46,54,58,High School or lower,52.666666666666664,Low,-20.002793296089386
177,female,Group C,associate's degree,standard,completed,71,77,77,Some College / Associate,75.0,Medium,2.3305400372439493
178,female,Group B,master's degree,free/reduced,completed,52,70,62,Master,61.333333333333336,Medium,-11.336126629422715
179,female,Group D,some high school,standard,completed,97,100,100,High School or lower,99.0,High,26.33054003724395
180,male,Group C,master's degree,free/reduced,completed,62,68,75,Master,68.33333333333333,Medium,-4.336126629422722
181,female,Group C,some college,free/reduced,none,46,64,66,Some College / Associate,58.666666666666664,Low,-6.372274143302185
182,female,Group E,high school,standard,none,50,50,47,High School or lower,49.0,Low,-16.03894080996885
183,female,Group D,associate's degree,standard,none,65,69,70,Some College / Associate,68.0,Medium,2.9610591900311505
184,male,Group C,some high school,free/reduced,completed,45,52,49,High School or lower,48.666666666666664,Low,-24.002793296089386
185,male,Group C,associate's degree,free/reduced,completed,65,67,65,Some College / Associate,65.66666666666667,Medium,-7.002793296089379
186,male,Group E,high school,standard,none,80,76,65,High School or lower,73.66666666666667,Medium,8.627725856697822
187,male,Group D,some high school,standard,completed,62,66,68,High School or lower,65.33333333333333,Medium,-7.336126629422722
188,male,Group B,some high school,free/reduced,none,48,52,45,High School or lower,48.333333333333336,Low,-16.705607476635514
189,female,Group C,bachelor's degree,standard,none,77,88,87,Bachelor,84.0,High,18.96105919003115
190,female,Group E,associate's degree,standard,none,66,65,69,Some College / Associate,66.66666666666667,Medium,1.6277258566978219
191,male,Group D,some college,standard,completed,76,83,79,Some College / Associate,79.33333333333333,Medium,6.663873370577278
192,female,Group B,some high school,standard,none,62,64,66,High School or lower,64.0,Medium,-1.0389408099688495
193,male,Group D,some college,standard,completed,77,62,62,Some College / Associate,67.0,Medium,-5.669459962756051
194,female,Group C,master's degree,standard,completed,69,84,85,Master,79.33333333333333,Medium,6.663873370577278
195,male,Group D,associate's degree,standard,none,61,55,52,Some College / Associate,56.0,Low,-9.03894080996885
196,male,Group C,some high school,free/reduced,completed,59,69,65,High School or lower,64.33333333333333,Medium,-8.336126629422722
197,male,Group E,high school,free/reduced,none,55,56,51,High School or lower,54.0,Low,-11.03894080996885
198,female,Group B,some college,free/reduced,none,45,53,55,Some College / Associate,51.0,Low,-14.03894080996885
199,female,Group B,bachelor's degree,free/reduced,none,78,79,76,Bachelor,77.66666666666667,Medium,12.627725856697822
200,female,Group C,associate's degree,standard,completed,67,84,86,Some College / Associate,79.0,Medium,6.330540037243949
201,female,Group D,some college,free/reduced,none,65,81,77,Some College / Associate,74.33333333333333,Medium,9.294392523364479
202,male,Group C,associate's degree,standard,none,69,77,69,Some College / Associate,71.66666666666667,Medium,6.627725856697822
203,female,Group B,associate's degree,standard,none,57,69,68,Some College / Associate,64.66666666666667,Medium,-0.3722741433021781
204,male,Group C,some college,standard,none,59,41,42,Some College / Associate,47.333333333333336,Low,-17.705607476635514
205,male,Group D,some high school,standard,completed,74,71,78,High School or lower,74.33333333333333,Medium,1.663873370577278
206,male,Group E,bachelor's degree,standard,none,82,62,62,Bachelor,68.66666666666667,Medium,3.627725856697822
207,male,Group E,high school,standard,completed,81,80,76,High School or lower,79.0,Medium,6.330540037243949
208,female,Group B,some college,free/reduced,none,74,81,76,Some College / Associate,77.0,Medium,11.96105919003115
209,female,Group B,some college,free/reduced,none,58,61,66,Some College / Associate,61.666666666666664,Medium,-3.3722741433021852
210,male,Group D,some high school,free/reduced,completed,80,79,79,High School or lower,79.33333333333333,Medium,6.663873370577278
211,male,Group C,some college,free/reduced,none,35,28,27,Some College / Associate,30.0,Low,-35.03894080996885
212,female,Group C,high school,free/reduced,none,42,62,60,High School or lower,54.666666666666664,Low,-10.372274143302185
213,male,Group C,associate's degree,free/reduced,completed,60,51,56,Some College / Associate,55.666666666666664,Low,-17.002793296089386
214,male,Group E,high school,standard,completed,87,91,81,High School or lower,86.33333333333333,High,13.663873370577278
215,male,Group B,some high school,standard,completed,84,83,75,High School or lower,80.66666666666667,High,7.997206703910621
216,female,Group E,associate's degree,free/reduced,completed,83,86,88,Some College / Associate,85.66666666666667,High,12.99720670391062
217,female,Group C,high school,free/reduced,none,34,42,39,High School or lower,38.333333333333336,Low,-26.705607476635514
218,male,Group B,high school,free/reduced,none,66,77,70,High School or lower,71.0,Medium,5.9610591900311505
219,male,Group B,some high school,standard,completed,61,56,56,High School or lower,57.666666666666664,Low,-15.002793296089386
220,female,Group D,high school,standard,completed,56,68,74,High School or lower,66.0,Medium,-6.669459962756051
221,male,Group B,associate's degree,standard,none,87,85,73,Some College / Associate,81.66666666666667,High,16.627725856697822
222,female,Group C,some high school,free/reduced,none,55,65,62,High School or lower,60.666666666666664,Medium,-4.372274143302185
223,male,Group D,some high school,standard,none,86,80,75,High School or lower,80.33333333333333,High,15.294392523364479
224,female,Group B,associate's degree,standard,completed,52,66,73,Some College / Associate,63.666666666666664,Medium,-9.002793296089386
225,female,Group E,master's degree,free/reduced,none,45,56,54,Master,51.666666666666664,Low,-13.372274143302185
226,female,Group C,some college,standard,none,72,72,71,Some College / Associate,71.66666666666667,Medium,6.627725856697822
227,male,Group D,high school,standard,none,57,50,54,High School or lower,53.666666666666664,Low,-11.372274143302185
228,male,Group A,some high school,free/reduced,none,68,72,64,High School or lower,68.0,Medium,2.9610591900311505
229,female,Group C,some college,standard,completed,88,95,94,Some College / Associate,92.33333333333333,High,19.663873370577278
230,male,Group D,some college,standard,none,76,64,66,Some College / Associate,68.66666666666667,Medium,3.627725856697822
231,male,Group C,associate's degree,standard,none,46,43,42,Some College / Associate,43.666666666666664,Low,-21.372274143302185
232,female,Group B,bachelor's degree,standard,none,67,86,83,Bachelor,78.66666666666667,Medium,13.627725856697822
233,male,Group E,some high school,standard,none,92,87,78,High School or lower,85.66666666666667,High,20.627725856697822
234,male,Group C,bachelor's degree,standard,completed,83,82,84,Bachelor,83.0,High,10.33054003724395
235,male,Group D,associate's degree,standard,none,80,75,77,Some College / Associate,77.33333333333333,Medium,12.294392523364479
236,male,Group D,bachelor's degree,free/reduced,none,63,66,67,Bachelor,65.33333333333333,Medium,0.2943925233644791
237,female,Group D,some high school,standard,completed,64,60,74,High School or lower,66.0,Medium,-6.669459962756051
238,male,Group B,some college,standard,none,54,52,51,Some College / Associate,52.333333333333336,Low,-12.705607476635514
239,male,Group C,associate's degree,standard,none,84,80,80,Some College / Associate,81.33333333333333,High,16.29439252336448
240,male,Group D,high school,free/reduced,completed,73,68,66,High School or lower,69.0,Medium,-3.6694599627560507
241,female,Group E,bachelor's degree,standard,none,80,83,83,Bachelor,82.0,High,16.96105919003115
242,female,Group D,high school,standard,none,56,52,55,High School or lower,54.333333333333336,Low,-10.705607476635514
243,male,Group E,some college,standard,none,59,51,43,Some College / Associate,51.0,Low,-14.03894080996885
244,male,Group D,some high school,standard,none,75,74,69,High School or lower,72.66666666666667,Medium,7.627725856697822
245,male,Group C,associate's degree,standard,none,85,76,71,Some College / Associate,77.33333333333333,Medium,12.294392523364479
246,male,Group E,associate's degree,standard,none,89,76,74,Some College / Associate,79.66666666666667,Medium,14.627725856697822
247,female,Group B,high school,standard,completed,58,70,68,High School or lower,65.33333333333333,Medium,-7.336126629422722
248,female,Group B,high school,standard,none,65,64,62,High School or lower,63.666666666666664,Medium,-1.3722741433021852
249,male,Group C,high school,standard,none,68,60,53,High School or lower,60.333333333333336,Medium,-4.705607476635514
250,male,Group A,some high school,standard,completed,47,49,49,High School or lower,48.333333333333336,Low,-24.336126629422715
251,female,Group D,some college,free/reduced,none,71,83,83,Some College / Associate,79.0,Medium,13.96105919003115
252,female,Group B,some high school,standard,completed,60,70,70,High School or lower,66.66666666666667,Medium,-6.002793296089379
253,male,Group D,master's degree,standard,none,80,80,72,Master,77.33333333333333,Medium,12.294392523364479
254,male,Group D,high school,standard,none,54,52,52,High School or lower,52.666666666666664,Low,-12.372274143302185
255,female,Group E,some college,standard,none,62,73,70,Some College / Associate,68.33333333333333,Medium,3.294392523364479
256,female,Group C,associate's degree,free/reduced,none,64,73,68,Some College / Associate,68.33333333333333,Medium,3.294392523364479
257,male,Group C,associate's degree,standard,completed,78,77,77,Some College / Associate,77.33333333333333,Medium,4.663873370577278
258,female,Group B,some college,standard,none,70,75,78,Some College / Associate,74.33333333333333,Medium,9.294392523364479
259,female,Group C,master's degree,free/reduced,completed,65,81,81,Master,75.66666666666667,Medium,2.9972067039106207
260,female,Group C,some high school,free/reduced,completed,64,79,77,High School or lower,73.33333333333333,Medium,0.6638733705772779
261,male,Group C,some college,standard,completed,79,79,78,Some College / Associate,78.66666666666667,Medium,5.997206703910621
262,female,Group C,some high school,free/reduced,none,44,50,51,High School or lower,48.333333333333336,Low,-16.705607476635514
263,female,Group E,high school,standard,none,99,93,90,High School or lower,94.0,High,28.96105919003115
264,male,Group D,high school,standard,none,76,73,68,High School or lower,72.33333333333333,Medium,7.294392523364479
265,male,Group D,some high school,free/reduced,none,59,42,41,High School or lower,47.333333333333336,Low,-17.705607476635514
266,female,Group C,bachelor's degree,standard,none,63,75,81,Bachelor,73.0,Medium,7.9610591900311505
267,female,Group D,high school,standard,none,69,72,77,High School or lower,72.66666666666667,Medium,7.627725856697822
268,female,Group D,associate's degree,standard,completed,88,92,95,Some College / Associate,91.66666666666667,High,18.99720670391062
269,female,Group E,some college,free/reduced,none,71,76,70,Some College / Associate,72.33333333333333,Medium,7.294392523364479
270,male,Group C,bachelor's degree,standard,none,69,63,61,Bachelor,64.33333333333333,Medium,-0.7056074766355209
271,male,Group C,some college,standard,none,58,49,42,Some College / Associate,49.666666666666664,Low,-15.372274143302185
272,female,Group D,associate's degree,free/reduced,none,47,53,58,Some College / Associate,52.666666666666664,Low,-12.372274143302185
273,female,Group D,some college,standard,none,65,70,71,Some College / Associate,68.66666666666667,Medium,3.627725856697822
